model,split,roc_auc,f1,accuracy,mcc
Logistic Regression,valid,0.82,0.9184,0.8596,0.4243
Logistic Regression,test,0.7737,0.8208,0.735,0.3196
Random Forest,valid,0.8357,0.9592,0.9298,0.7175
Random Forest,test,0.8368,0.8973,0.8376,0.5152
XGBoost,valid,0.8514,0.9703,0.9474,0.7425
XGBoost,test,0.8473,0.913,0.8632,0.5968
LightGBM,valid,0.8743,0.96,0.9298,0.6743
LightGBM,test,0.8667,0.9149,0.8632,0.5839
GCN (GNN),valid,0.9857,0.98,0.9649,0.8371
GCN (GNN),test,0.9502,0.9282,0.8889,0.6831
Attentive FP,valid,0.9829,0.9485,0.9123,0.6706
Attentive FP,test,0.9568,0.9006,0.8547,0.6458
ChemBERTa,valid,0.9429,0.9495,0.9123,0.6182
ChemBERTa,test,0.9128,0.8824,0.8291,0.5873
